1,1,130.59,902.26,63.19,24.67,0.85,-1,-1,-1
1,2,219.56,925.98,56.79,21.13,0.69,-1,-1,-1
2,1,125.50,892.24,66.67,26.06,0.78,-1,-1,-1
2,2,228.00,921.19,53.04,19.69,0.91,-1,-1,-1
3,1,128.53,880.39,62.08,24.21,0.70,-1,-1,-1
3,2,226.18,917.81,53.19,19.71,0.72,-1,-1,-1
5,1,124.16,857.98,62.76,24.48,0.72,-1,-1,-1
5,2,231.75,908.50,53.41,19.76,0.73,-1,-1,-1
6,1,122.34,848.44,66.08,25.84,0.91,-1,-1,-1
6,2,231.15,903.92,57.20,21.25,0.68,-1,-1,-1
7,1,123.24,835.84,64.58,25.19,0.94,-1,-1,-1
7,2,233.06,900.78,57.74,21.48,0.94,-1,-1,-1
8,1,120.37,826.88,64.86,25.30,0.91,-1,-1,-1
8,2,232.72,894.73,58.97,22.03,0.62,-1,-1,-1
9,2,237.03,888.94,58.01,21.73,0.95,-1,-1,-1
10,2,236.52,882.95,55.86,20.91,0.70,-1,-1,-1
10,1,119.83,807.53,66.02,25.85,0.69,-1,-1,-1
11,2,235.39,881.42,57.93,21.81,0.73,-1,-1,-1
11,1,124.41,795.60,65.18,25.50,0.91,-1,-1,-1
12,2,241.93,875.95,54.64,20.48,0.94,-1,-1,-1
12,1,126.18,784.41,62.72,24.46,0.63,-1,-1,-1
13,2,244.48,871.13,56.25,21.17,0.78,-1,-1,-1
13,1,128.75,774.37,65.16,25.48,0.92,-1,-1,-1
14,2,244.31,868.62,56.22,21.23,0.77,-1,-1,-1
14,1,131.74,762.83,62.70,24.34,0.60,-1,-1,-1
15,2,244.46,867.19,56.47,21.34,0.66,-1,-1,-1
15,1,136.85,755.22,61.98,23.91,0.65,-1,-1,-1
16,2,249.36,861.89,55.81,21.10,0.74,-1,-1,-1
17,2,252.89,855.66,53.61,20.25,0.62,-1,-1,-1
17,1,143.33,737.17,66.45,25.76,0.66,-1,-1,-1
18,2,251.63,853.94,51.05,19.14,0.78,-1,-1,-1
18,1,149.99,728.66,64.56,24.99,0.62,-1,-1,-1
19,2,252.61,847.78,54.47,20.60,0.92,-1,-1,-1
19,1,158.80,716.45,63.21,24.38,0.69,-1,-1,-1
20,2,255.94,843.84,51.92,19.48,0.83,-1,-1,-1
20,1,166.70,708.25,60.83,23.17,0.89,-1,-1,-1
21,2,258.79,839.07,55.15,20.83,0.82,-1,-1,-1
21,1,169.01,698.48,68.95,26.52,0.73,-1,-1,-1
22,1,176.00,687.95,67.45,26.01,0.88,-1,-1,-1
23,1,185.68,682.65,66.16,25.48,0.61,-1,-1,-1
23,2,261.97,831.34,53.41,20.14,0.72,-1,-1,-1
24,1,197.77,674.90,63.22,24.22,0.86,-1,-1,-1
24,2,261.96,828.09,51.35,19.33,0.84,-1,-1,-1
25,1,207.23,668.16,63.37,24.21,0.65,-1,-1,-1
